src_id,wfs_id,object_id,VersieId,GeometrieMethode,GebouwStatus,area_m2,centroid_x,centroid_y,rank_area,south_usable_panel_area_m2,south_kwp,south_specific_yield,south_kwh_year,south_co2_tons_year,ew_usable_panel_area_m2,ew_kwp,ew_specific_yield,ew_kwh_year,ew_co2_tons_year,best_layout,best_kwh_year,best_co2_tons_year,latitude,longitude,address,type of building
Gebouw.19740655,https://data.vlaanderen.be/id/gebouw/19740655,19740655,11/3/2023 4:53,IngemetenGRB,Gerealiseerd,16582.79481,171839.2348,172970.8308,13,9949.676886,2487.419221,1065.68,2650792.916,609.6823706,9949.676886,2487.419221,878.665,2185608.21,502.6898883,south,2650792.916,609.6823706,50.86670559,4.678988068,"1 Steengroevenlaan, 3001 Leuven, Belgium",Lam Reesarch/ imec building
Gebouw.19741109,https://data.vlaanderen.be/id/gebouw/19741109,19741109,11/3/2023 4:53,IngemetenGRB,Gerealiseerd,16522.53295,175264.3416,170710.3075,14,9913.519772,2478.379943,1084.42,2687604.778,618.1490989,9913.519772,2478.379943,892.72,2212499.343,508.8748488,south,2687604.778,618.1490989,50.84624586,4.727487005,"Stenenkruis, 3001 Leuven, Belgium",
Gebouw.14207657,https://data.vlaanderen.be/id/gebouw/14207657,14207657,11/2/2023 16:21,IngemetenGRB,Gerealiseerd,15060.26109,171726.2407,175123.5095,15,9036.156651,2259.039163,1064.44,2404611.646,553.0606787,9036.156651,2259.039163,878.27,1984046.325,456.3306549,south,2404611.646,553.0606787,50.88606103,4.6775104,"100 Brusselsesteenweg, 3000 Leuven, Belgium",KBC Bank & Verzekering
Gebouw.19740414,https://data.vlaanderen.be/id/gebouw/19740414,19740414,11/3/2023 4:53,IngemetenGRB,Gerealiseerd,14786.56635,174013.2584,173519.9222,16,8871.939813,2217.984953,1076.2,2386995.407,549.0089435,8871.939813,2217.984953,886.135,1965434.097,452.0498422,south,2386995.407,549.0089435,50.87155567,4.709906483,"64 Geldenaaksevest, 3000 Leuven, Belgium",Central Prison Leuven
Gebouw.14108718,https://data.vlaanderen.be/id/gebouw/14108718,14108718,11/2/2023 16:53,IngemetenGRB,Gehistoreerd,13455.10901,175292.0756,170681.9755,17,8073.065407,2018.266352,1084.42,2188648.397,503.3891314,8073.065407,2018.266352,892.725,1801756.829,414.4040706,south,2188648.397,503.3891314,50.84598997,4.727878852,"335 Geldenaaksebaan, 3001 Leuven, Belgium",Ekinops Belgium
Gebouw.14097919,https://data.vlaanderen.be/id/gebouw/14097919,14097919,11/2/2023 17:06,IngemetenGRB,Gerealiseerd,13229.20433,174349.5889,177058.2063,18,7937.522596,1984.380649,1064.94,2113246.328,486.0466555,7937.522596,1984.380649,878.06,1742405.273,400.7532127,south,2113246.328,486.0466555,50.90334838,4.714919446,"Kesseldallaan, 3010 Leuven, Belgium",
Gebouw.14217187,https://data.vlaanderen.be/id/gebouw/14217187,14217187,11/2/2023 14:11,IngemetenGRB,Gehistoreerd,12147.59677,171322.1517,174430.4858,19,7288.55806,1822.139515,1066.16,1942692.265,446.819221,7288.55806,1822.139515,878.95,1601569.527,368.3609912,south,1942692.265,446.819221,50.8798462,4.671727567,"Blauwe straat (level 4), 3000 Leuven, Belgium",
Gebouw.14019047,https://data.vlaanderen.be/id/gebouw/14019047,14019047,11/2/2023 16:44,IngemetenGRB,Gerealiseerd,11857.77864,173917.5188,176700.9248,20,7114.667182,1778.666795,1064.89,1894084.484,435.6394313,7114.667182,1778.666795,878.08,1561811.74,359.2167002,south,1894084.484,435.6394313,50.90015467,4.708753695,"Aarschotsesteenweg 114, 3012 Leuven",Variapack - Warehouse
Gebouw.15019115,https://data.vlaanderen.be/id/gebouw/15019115,15019115,11/2/2023 16:34,IngemetenGRB,Gerealiseerd,11391.88103,176001.0073,170617.9347,21,6835.128615,1708.782154,1084.98,1853994.461,426.4187261,6835.128615,1708.782154,892.925,1525814.305,350.9372901,south,1853994.461,426.4187261,50.84538297,4.737940403,"20 Romeinse straat, 3001 Leuven, Belgium",TOMRA Food - Headquarters
Gebouw.15169001,https://data.vlaanderen.be/id/gebouw/15169001,15169001,11/2/2023 16:39,IngemetenGRB,Gerealiseerd,11066.5569,174088.5687,173101.3413,22,6639.934139,1659.983535,1076.14,1786374.681,410.8661766,6639.934139,1659.983535,886.14,1470977.809,338.3248962,south,1786374.681,410.8661766,50.86778977,4.710948932,"Philipssite, 3001 Leuven, Belgium",
Gebouw.14070280,https://data.vlaanderen.be/id/gebouw/14070280,14070280,11/2/2023 14:09,IngemetenGRB,Gehistoreerd,11034.35191,174010.0862,173536.6077,23,6620.611149,1655.152787,1076.2,1781275.43,409.6933488,6620.611149,1655.152787,886.135,1466688.815,337.3384275,south,1781275.43,409.6933488,50.87170579,4.709862508,"64 Geldenaaksevest, 3000 Leuven, Belgium",Central Prison Leuven
Gebouw.19743111,https://data.vlaanderen.be/id/gebouw/19743111,19743111,4/15/2024 17:06,IngemetenGRB,Gerealiseerd,10954.16977,171866.7405,172834.6566,24,6572.50186,1643.125465,1065.66,1751013.083,402.7330091,6572.50186,1643.125465,878.66,1443748.621,332.0621828,south,1751013.083,402.7330091,50.86548043,4.679370683,"75 Kapeldreef, 3001 Leuven, Belgium",imec Leuven
Gebouw.14427611,https://data.vlaanderen.be/id/gebouw/14427611,14427611,9/23/2025 18:35,IngemetenGRB,Gerealiseerd,10517.97324,173259.7734,172001.2752,25,6310.783945,1577.695986,1065.53,1681082.404,386.648953,6310.783945,1577.695986,878.66,1386258.355,318.8394217,south,1681082.404,386.648953,50.85793468,4.699105754,"Hertogstraat, 3001 Leuven, Belgium",
Gebouw.14530569,https://data.vlaanderen.be/id/gebouw/14530569,14530569,11/2/2023 16:33,IngemetenGRB,Gerealiseerd,10311.11212,174891.0833,170830.8549,26,6186.667269,1546.666817,1085.01,1678148.963,385.9742616,6186.667269,1546.666817,892.925,1381057.468,317.6432176,south,1678148.963,385.9742616,50.84734564,4.722195261,"464 Geldenaaksebaan, 3001 Leuven, Belgium",
Gebouw.14039490,https://data.vlaanderen.be/id/gebouw/14039490,14039490,9/17/2025 8:46,IngemetenGRB,Gerealiseerd,9790.197564,175472.3623,171384.2505,27,5874.118538,1468.529635,1075.91,1580005.719,363.4013154,5874.118538,1468.529635,886.145,1301330.193,299.3059444,south,1580005.719,363.4013154,50.85229512,4.730487406,"8 Technologielaan, 3001 Leuven, Belgium",
Gebouw.14070552,https://data.vlaanderen.be/id/gebouw/14070552,14070552,11/2/2023 14:09,IngemetenGRB,Gerealiseerd,8901.619284,173666.6041,176600.914,28,5340.97157,1335.242893,1076.02,1436748.057,330.4520532,5340.97157,1335.242893,885.72,1182651.335,272.009807,south,1436748.057,330.4520532,50.89926594,4.705180399,"85 Kolonel Begaultlaan, 3012 Leuven, Belgium",AB Inbev
Gebouw.14016035,https://data.vlaanderen.be/id/gebouw/14016035,14016035,11/2/2023 13:56,IngemetenGRB,Gehistoreerd,8887.164585,177205.2738,175305.0539,29,5332.298751,1333.074688,1076.35,1434854.94,330.0166362,5332.298751,1333.074688,889.37,1185596.635,272.6872261,south,1434854.94,330.0166362,50.8874619,4.755386633,"624 Diestsesteenweg, 3010 Leuven, Belgium",
Gebouw.14375922,https://data.vlaanderen.be/id/gebouw/14375922,14375922,4/10/2024 17:08,IngemetenGRB,Gerealiseerd,8876.281231,173861.0756,176444.4482,30,5325.768739,1331.442185,1076.45,1433230.94,329.6431161,5325.768739,1331.442185,886.095,1179784.263,271.3503804,south,1433230.94,329.6431161,50.89785145,4.707934647,"Aarschotsesteenweg 106, 3012 Leuven",Metaleuven ijzermagazijn
Gebouw.14000357,https://data.vlaanderen.be/id/gebouw/14000357,14000357,11/2/2023 14:20,IngemetenGRB,Gehistoreerd,8804.099695,173659.8729,175873.748,31,5282.459817,1320.614954,1071.92,1415593.582,325.5865238,5282.459817,1320.614954,882.99,1166089.798,268.2006537,south,1415593.582,325.5865238,50.8927295,4.705037803,"45 Kolonel Begaultlaan, 3012 Leuven, Belgium",
Gebouw.19739993,https://data.vlaanderen.be/id/gebouw/19739993,19739993,1/22/2024 8:42,IngemetenGRB,Gerealiseerd,8580.601733,177207.4218,175302.2523,32,5148.36104,1287.09026,1074.28,1382695.324,318.0199246,5148.36104,1287.09026,888.835,1144010.871,263.1225004,south,1382695.324,318.0199246,50.88743661,4.755416952,"624 Diestsesteenweg, 3010 Leuven, Belgium",
Gebouw.14239209,https://data.vlaanderen.be/id/gebouw/14239209,14239209,11/2/2023 14:14,IngemetenGRB,Gerealiseerd,8501.423949,174773.6363,170689.788,33,5100.85437,1275.213592,1084.99,1383593.996,318.226619,5100.85437,1275.213592,892.925,1138670.097,261.8941223,south,1383593.996,318.226619,50.84608255,4.720518079,"7 Grauwmeer, 3001 Leuven, Belgium",Yamazaki Mazak Europe N.V.
