src_id,wfs_id,object_id,VersieId,GeometrieMethode,GebouwStatus,area_m2,centroid_x,centroid_y,rank_area,south_usable_panel_area_m2,south_kwp,south_specific_yield,south_kwh_year,south_co2_tons_year,ew_usable_panel_area_m2,ew_kwp,ew_specific_yield,ew_kwh_year,ew_co2_tons_year,best_layout,best_kwh_year,best_co2_tons_year
Gebouw.19743111,https://data.vlaanderen.be/id/gebouw/19743111,19743111,2024-04-15 17:06:38,IngemetenGRB,Gerealiseerd,10954.169766538822,171866.74048192071,172834.65655074455,24,6572.501859923293,1643.1254649808232,1065.66,1751013.0830114642,402.7330090926368,6572.501859923293,1643.1254649808232,878.66,1443748.62106005,332.0621828438115,south,1751013.0830114642,402.7330090926368
Gebouw.14427611,https://data.vlaanderen.be/id/gebouw/14427611,14427611,2025-09-23 18:35:32,IngemetenGRB,Gerealiseerd,10517.973241264604,173259.77338008382,172001.27523474913,25,6310.783944758762,1577.6959861896905,1065.53,1681082.404164701,386.64895295788125,6310.783944758762,1577.6959861896905,878.66,1386258.3552254334,318.8394217018497,south,1681082.404164701,386.64895295788125
Gebouw.14530569,https://data.vlaanderen.be/id/gebouw/14530569,14530569,2023-11-02 16:33:39,IngemetenGRB,Gerealiseerd,10311.112115450967,174891.0833363785,170830.85490564592,26,6186.667269270581,1546.6668173176452,1085.01,1678148.9634578181,385.9742615952982,6186.667269270581,1546.6668173176452,892.925,1381057.4678533582,317.64321760627246,south,1678148.9634578181,385.9742615952982
Gebouw.14039490,https://data.vlaanderen.be/id/gebouw/14039490,14039490,2025-09-17 08:46:29,IngemetenGRB,Gerealiseerd,9790.197563967562,175472.36227716823,171384.25052918468,27,5874.118538380537,1468.5296345951342,1075.91,1580005.719157251,363.4013154061678,5874.118538380537,1468.5296345951342,886.145,1301330.193048305,299.3059444011102,south,1580005.719157251,363.4013154061678
Gebouw.14070552,https://data.vlaanderen.be/id/gebouw/14070552,14070552,2023-11-02 14:09:32,IngemetenGRB,Gerealiseerd,8901.619284140963,173666.60413632428,176600.9140055632,28,5340.971570484578,1335.2428926211444,1076.02,1436748.0573182038,330.45205318318693,5340.971570484578,1335.2428926211444,885.72,1182651.3348524,272.00980701605204,south,1436748.0573182038,330.45205318318693
Gebouw.14016035,https://data.vlaanderen.be/id/gebouw/14016035,14016035,2023-11-02 13:56:50,IngemetenGRB,Gehistoreerd,8887.164584866081,177205.27377553572,175305.05386116556,29,5332.298750919648,1333.074687729912,1076.35,1434854.9401380906,330.01663623176086,5332.298750919648,1333.074687729912,889.3699999999999,1185596.6350263518,272.6872260560609,south,1434854.9401380906,330.01663623176086
Gebouw.14375922,https://data.vlaanderen.be/id/gebouw/14375922,14375922,2024-04-10 17:08:09,IngemetenGRB,Gerealiseerd,8876.28123128054,173861.0756001316,176444.44822034493,30,5325.768738768324,1331.442184692081,1076.45,1433230.9397117905,329.6431161337118,5325.768738768324,1331.442184692081,886.095,1179784.2626447296,271.35038040828783,south,1433230.9397117905,329.6431161337118
Gebouw.14000357,https://data.vlaanderen.be/id/gebouw/14000357,14000357,2023-11-02 14:20:50,IngemetenGRB,Gehistoreerd,8804.099695217546,173659.87290120972,175873.7479835815,31,5282.459817130528,1320.614954282632,1071.92,1415593.581794639,325.5865238127669,5282.459817130528,1320.614954282632,882.99,1166089.7984820213,268.2006536508649,south,1415593.581794639,325.5865238127669
Gebouw.19739993,https://data.vlaanderen.be/id/gebouw/19739993,19739993,2024-01-22 08:42:45,IngemetenGRB,Gerealiseerd,8580.601732784358,177207.42178739686,175302.25228305606,32,5148.361039670614,1287.0902599176536,1074.28,1382695.324424337,318.0199246175975,5148.361039670614,1287.0902599176536,888.835,1144010.8711739078,263.1225003699988,south,1382695.324424337,318.0199246175975
Gebouw.14239209,https://data.vlaanderen.be/id/gebouw/14239209,14239209,2023-11-02 14:14:55,IngemetenGRB,Gerealiseerd,8501.42394931973,174773.63629664862,170689.78801025843,33,5100.854369591837,1275.2135923979592,1084.99,1383593.9956158618,318.22661899164825,5100.854369591837,1275.2135923979592,892.925,1138670.0969919476,261.8941223081479,south,1383593.9956158618,318.22661899164825
Gebouw.19740731,https://data.vlaanderen.be/id/gebouw/19740731,19740731,2023-11-03 04:53:20,IngemetenGRB,Gerealiseerd,8408.833804927019,173910.31349962804,175400.64734277345,34,5045.300282956211,1261.3250707390528,1076.45,1357753.3723970533,312.28327565132224,5045.300282956211,1261.3250707390528,886.125,1117691.6783086432,257.0690860109879,south,1357753.3723970533,312.28327565132224
Gebouw.14572288,https://data.vlaanderen.be/id/gebouw/14572288,14572288,2025-09-17 09:18:33,IngemetenGRB,Gerealiseerd,8147.909897948479,171981.86527026154,174663.2703684371,35,4888.745938769087,1222.1864846922717,1065.32,1302019.7058723709,299.4645323506453,4888.745938769087,1222.1864846922717,878.42,1073593.0518833853,246.92640193317862,south,1302019.7058723709,299.4645323506453
Gebouw.14191487,https://data.vlaanderen.be/id/gebouw/14191487,14191487,2023-11-02 16:21:10,IngemetenGRB,Gehistoreerd,7992.218786190598,175081.48311913974,171185.37404797343,36,4795.331271714358,1198.8328179285895,1075.9,1289824.2288093695,296.659572626155,4795.331271714358,1198.8328179285895,886.15,1062345.7016074196,244.33951136970654,south,1289824.2288093695,296.659572626155
Gebouw.19739426,https://data.vlaanderen.be/id/gebouw/19739426,19739426,2023-11-03 04:52:29,IngemetenGRB,Gerealiseerd,7861.071241270749,176340.1334090218,175018.21473835685,37,4716.642744762449,1179.1606861906123,1075.9,1268658.98227248,291.79156592267043,4716.642744762449,1179.1606861906123,886.02,1044759.9511786063,240.29478877107945,south,1268658.98227248,291.79156592267043
Gebouw.14137556,https://data.vlaanderen.be/id/gebouw/14137556,14137556,2023-11-02 15:37:47,IngemetenGRB,Gehistoreerd,7602.286771269155,171888.1650337698,172840.3390658173,38,4561.372062761493,1140.3430156903732,1065.11,1214590.7494419734,279.3558723716539,4561.372062761493,1140.3430156903732,878.415,1001694.4101276592,230.38971432936162,south,1214590.7494419734,279.3558723716539
Gebouw.13964733,https://data.vlaanderen.be/id/gebouw/13964733,13964733,2023-11-02 15:13:19,IngemetenGRB,Gerealiseerd,7516.332943476491,175325.551601228,171720.21381157442,39,4509.799766085895,1127.4499415214736,1075.95,1213079.7645800295,279.0083458534068,4509.799766085895,1127.4499415214736,886.1400000000001,999078.4911798388,229.78805297136293,south,1213079.7645800295,279.0083458534068
Gebouw.14011096,https://data.vlaanderen.be/id/gebouw/14011096,14011096,2023-11-02 15:23:11,IngemetenGRB,Gehistoreerd,7217.37535851462,175502.07980482653,170651.41022580984,40,4330.425215108771,1082.6063037771928,1084.99,1174617.0135352165,270.1619131130998,4330.425215108771,1082.6063037771928,892.9300000000001,966691.6468317688,222.33907877130684,south,1174617.0135352165,270.1619131130998
Gebouw.14246617,https://data.vlaanderen.be/id/gebouw/14246617,14246617,2023-11-02 16:23:33,IngemetenGRB,Gehistoreerd,7193.3382244533195,174308.44826333338,174171.0869076486,41,4316.002934671991,1079.0007336679978,1076.28,1161306.9096321927,267.10058921540434,4316.002934671991,1079.0007336679978,886.13,956134.9201252229,219.91103162880128,south,1161306.9096321927,267.10058921540434
Gebouw.14010866,https://data.vlaanderen.be/id/gebouw/14010866,14010866,2023-11-02 15:21:18,IngemetenGRB,Gerealiseerd,6965.149239160539,174777.80641756562,170783.69381341187,42,4179.089543496323,1044.7723858740808,1085.0,1133578.0386733776,260.7229488948769,4179.089543496323,1044.7723858740808,892.925,932903.3826566135,214.56777801102112,south,1133578.0386733776,260.7229488948769
Gebouw.18242455,https://data.vlaanderen.be/id/gebouw/18242455,18242455,2023-11-02 07:10:08,IngemetenGRB,Gerealiseerd,6957.312767203133,173417.1962218087,175440.11967830424,43,4174.38766032188,1043.59691508047,1072.58,1119341.1791770104,257.4484712107124,4174.38766032188,1043.59691508047,883.245,921751.7572602497,212.00290416985743,south,1119341.1791770104,257.4484712107124
Gebouw.13971133,https://data.vlaanderen.be/id/gebouw/13971133,13971133,2023-11-02 13:53:01,IngemetenGRB,Gerealiseerd,6815.707035154141,175327.91564673922,171414.87551727518,44,4089.424221092484,1022.356055273121,1075.92,1099973.3269894563,252.99386520757497,4089.424221092484,1022.356055273121,886.145,905955.7065999998,208.36981251799997,south,1099973.3269894563,252.99386520757497
Gebouw.14120699,https://data.vlaanderen.be/id/gebouw/14120699,14120699,2023-11-02 16:02:11,IngemetenGRB,Gehistoreerd,6814.365465910127,175684.11940624827,171244.39570540073,45,4088.6192795460756,1022.1548198865189,1075.61,1099439.9458181385,252.87118753817188,4088.6192795460756,1022.1548198865189,886.09,905721.1643532455,208.31586780124647,south,1099439.9458181385,252.87118753817188
